,Stock 1,Stock 2,Stock 3,Stock 4,Stock 5
2025-01-02,-0.018719682641951736,0.019804360971649268,-0.002029201603640704,-0.0010649438873731234,0.009169798632744131
2025-01-03,0.0038733602686603493,0.02964177951656271,0.016090603608907027,0.003427619325374996,0.009828803325342101
2025-01-06,0.007644195099181752,0.030414340497458205,-0.0031079900767018954,0.007235117334566925,-0.016212632128859945
2025-01-07,-0.05135623985981896,0.013974275313213417,0.018123496754215852,-0.013940012471301519,0.045351011801305706
2025-01-08,-0.02848930725198465,0.0019133387454803197,-0.002747447781040097,0.031164875201222624,0.029934630054089695
2025-01-09,0.004090570710133021,0.008526793740517707,-0.016897679995883833,-0.03938129258452566,-0.005976064140034812
2025-01-10,0.004118486760566907,0.02528347566913332,0.0247390475860926,-0.00676939710313284,-0.00505882933852008
2025-01-13,-0.020173176428398904,-0.027782749862591105,-0.03368647530195282,0.03923562448887199,-0.009235560433800956
2025-01-14,-0.00779176313020332,-0.024349976177955313,0.016414351524963247,-0.031777557519296284,-0.0032601140057126766
2025-01-15,-0.017053926286766278,0.008700094144923325,-0.009258833771284574,-0.022872230266635804,0.00043626025788074676
2025-01-16,0.009521166904808295,0.0023276334059981045,0.007024706826072292,-0.011755265059695043,-0.006274466680461521
2025-01-17,-0.012527349560446712,-0.006210307331518546,-0.015380603026749769,-0.034100521862005226,0.004538209576638334
2025-01-20,-0.007060485393156817,-0.03211415031171367,0.010203412796038841,-0.01729466150658715,0.00203683216421003
2025-01-21,0.015461661317738518,0.003573266487604681,0.02350948730614316,-0.023981794598598855,0.009006155382086099
2025-01-22,-0.012777487333549078,-0.016552177579554184,-0.01063332727037021,-0.005244780489908595,0.002121055814472281
2025-01-23,-0.02255546964414377,0.018837975639033545,0.010260430088824985,-0.03017561236711521,0.030301287575650655
2025-01-24,0.038179578592094185,0.024278469696936464,-0.0026018786687712746,-0.020626319916638568,0.021848605930822784
2025-01-27,-0.007088603831605533,0.0251304693099534,0.005152204134039174,0.02032482497593521,0.00809447907605945
2025-01-28,0.015018124662193962,0.0012092689539005509,0.036059384760579814,0.0035319970025582403,0.008999172971532769
2025-01-29,0.03793432258946355,-0.026297961226654332,-0.024712555258182695,0.020182882600908163,-0.022718592056425523
2025-01-30,0.03909803612201792,-0.0072989522771989826,-0.014047299169321997,0.03870023208189718,0.03015114699277519
2025-01-31,0.037634050462325534,0.01894038622758616,-0.01635757229370456,0.03845243643311418,-0.004369600232206903
2025-02-03,0.016905422601685788,0.019748742859611087,-0.0021024103785092637,0.013194160387197226,0.01925751152338429
2025-02-04,0.008492348337878396,-0.02121139527188613,0.006940621549351016,0.027155643115635862,-0.012975171842018808
2025-02-05,-0.0019946788563634118,-0.0077328929316229115,0.037281598293924224,0.014342547309310972,0.009107636009170998
2025-02-06,-0.014502983169537135,0.011716081715792928,-0.012565266564675485,0.0016352733768609966,-0.011786105640314362
2025-02-07,0.014424136068792056,0.012453943042920931,-0.003170997413887634,0.00888058487221033,-0.02108189999478225
2025-02-10,-0.029248756720360272,0.00974024346486361,0.004324107464894879,0.013607623646571122,0.0475159198050691
2025-02-11,0.019694376084099616,-0.01740707232963406,0.023072105899752747,-0.025644167090276254,-0.008265759557726238
2025-02-12,-0.0003648986739168193,0.03465922385483045,-0.013992536976944227,-0.015650605071147156,-0.0009695203214858966
2025-02-13,-0.012345458266721236,0.023260092820899952,-0.020813741070083457,-0.022193844487758668,-0.007786638229050011
2025-02-14,-0.009001037079098707,0.03882702131714583,0.019791270504745835,0.0027472476846595994,-0.023789448701708495
2025-02-17,0.017729164969916594,-0.019187209791132663,-0.030351400858476624,0.024459020282540423,0.007312053895256187
2025-02-18,0.019231068375353894,0.007347493993359861,0.017974105822258443,-0.012093342447760318,-0.019881184354107587
2025-02-19,0.0145258771227201,-0.015182871966552172,-0.012873504676302749,-0.00814372032820529,0.0013486733116574027
2025-02-20,-0.006098435942026029,-0.02685645352154951,-0.011943407448673065,-0.044441101265085756,0.013414254260655378
2025-02-21,-0.031533137665198885,-0.02131318774270415,0.0020412168838348124,-0.013887242858461987,0.03136328183719643
2025-02-24,-0.02517129378926901,0.0063209977216935834,0.00021432066713501883,-0.022615687596732888,0.011400302117402894
2025-02-25,-0.002433886123761702,0.01630220504299397,0.017319235523263345,0.043313019565730124,0.02735303052715824
2025-02-26,-0.006404099298079322,-0.003794774609663452,0.022732831930474897,0.014006720898740898,0.013708241767632086
2025-02-27,-0.03184069829996331,0.0005133457275538778,-0.013856173099642958,0.006576817227532871,-0.0009634717827714776
2025-02-28,0.019021516584948484,0.007317525788091341,0.01658821094605425,-0.00836325667597554,-0.018050866146795554
2025-03-03,-0.0072270461640083295,0.0006593742877577868,0.008546409887551863,0.04515134121314252,0.0001548449776847093
2025-03-04,-0.018285057398149767,-0.005937226010201138,-0.008306321664991203,0.010573532143164704,-0.030269473205902935
2025-03-05,0.0022626780961205535,0.004121625180655245,0.005627755161389925,-0.011006673179420563,-0.003765515257060241
2025-03-06,-0.027865890750218753,-0.008905938065144786,-0.0099061336454167,0.009277828462462761,-0.022372047038885828
2025-03-07,0.016487296512469798,0.030422206963329954,-0.041238435907716114,0.009480096167157944,0.014433494855354147
2025-03-10,-0.011818302342247853,-0.00696966809468237,-0.0016589869098504039,-0.004968138375255842,-0.005193723442919899
2025-03-11,-0.03306060481194445,0.02376206395514607,0.022340944063023543,-0.015385030150454806,-0.02873748077111379
2025-03-12,0.01135656691589326,-0.010571440692179074,0.0038317128694535818,-0.005401128210844955,0.014721874476896362
2025-03-13,0.01478514199122755,-0.013604064661505917,-0.02702930160856363,-0.031138580419343444,0.013121127848238889
2025-03-14,-0.02304059271153504,-0.009178319287631676,-0.010986410975560785,-5.1347243638062716e-05,-0.03845562586882109
2025-03-17,0.0047642050667217346,0.011412450026564115,0.002764616664098825,-0.005231383289168448,0.0029436664848289957
2025-03-18,0.008940838232256167,-0.05599047216787671,0.039334404925717215,0.008763355839104025,-0.01212133915139936
2025-03-19,-0.006842423582905971,0.01081612975000623,-0.0013229534978870007,-0.04041966854298721,0.04142007857042695
2025-03-20,-0.001211546771134583,0.021177617088147367,-0.012924155214100078,0.031234621625811764,0.006704349318806823
2025-03-21,0.013090816825647658,-0.02010584193048904,0.02491005801438109,0.014687965065594584,0.026677884137780043
2025-03-24,-0.011629107915924433,-0.008657914176421476,0.04600374661948749,-0.02040713275631346,-0.0017204731791366815
2025-03-25,0.023460465762367197,0.002950143398749354,0.012579617381638833,-0.007013517904133476,0.008366024777017023
2025-03-26,-0.025451701085731502,0.03359203025148553,-0.0013642110154140207,-0.012683662724287045,0.014225990683906373
2025-03-27,-0.00824831980131978,-0.02602079289521976,-0.02627657526601857,0.014765908467202847,-0.0021938735445732427
2025-03-28,-0.001675433949310305,0.022304276071266126,-0.02177181136574724,-0.013707069174210391,-0.00672012573317558
2025-03-31,0.0028828723138368756,0.0001565587182327079,-0.0047490025307613945,-0.00023255508074972707,-0.001146762807018845
