,Stock 1,Stock 2,Stock 3,Stock 4,Stock 5
2025-01-01,62.04831768741952,77.10373842396906,85.30422373471129,76.88441314314686,101.74261198234476
2025-01-02,60.897597037917755,78.64594953888376,85.13129977523624,76.80257913938087,102.67986187559204
2025-01-03,61.13393278200482,81.01204990530954,86.51219368940652,77.06628082018977,103.6940580460667
2025-01-06,61.6030431928024,83.51383012395732,86.24373205405813,77.62588636923316,102.02645904075175
2025-01-07,58.519207398082976,84.68906780099059,87.82101986435755,76.55128790477659,106.75998604332908
2025-01-08,56.8755600745911,84.85126179227588,87.58006735199379,78.97456365133759,110.00412046471637
2025-01-09,57.10869006703825,85.57786439308396,86.11260070791408,75.92488747978703,109.34868918546884
2025-01-10,57.34437645348248,87.76915523826489,88.26951442497428,75.41265746667477,108.79690968440282
2025-01-13,56.19914851073152,85.3642488981155,85.34555111531368,78.43033325764209,107.79673494631734
2025-01-14,55.76295960454261,83.3107344483395,86.75800352453531,75.97719267034451,107.44587752929107
2025-01-15,54.820045250565926,84.03870780791888,85.95843284954883,74.25914748449728,107.49276212172882
2025-01-16,55.34448874631122,84.23454694404788,86.5643914886132,73.39132227383519,106.82041388650626
2025-01-17,54.65549364137202,83.71304553769858,85.24316561817368,70.93083034004025,107.3062889793894
2025-01-20,54.270958426930285,81.06738121413528,86.11738927285057,69.71465264334302,107.52507662141777
2025-01-21,55.1165982571453,81.35757473127902,88.16595090789478,68.06265823316664,108.49783801395122
2025-01-22,54.41682680210652,80.02201342320329,87.23342023626925,67.70661902108255,108.72821221603002
2025-01-23,53.203168487220424,81.54375442124699,88.13308020237059,65.69404832029733,112.07324043540564
2025-01-24,55.2737178810167,83.54774041301675,87.904066682872,64.35290087948566,114.54883011423867
2025-01-27,54.88328982243521,85.67393862161943,88.3581351007797,65.67424488256259,115.47980602211999
2025-01-28,55.71375431167034,85.77760412285627,91.60241696334103,65.90661624454067,116.52371890241311
2025-01-29,57.86781597133486,83.55123086298576,89.36642944876519,67.25031599745104,113.90630858340823
2025-01-30,60.17514604908903,82.94361459483333,88.11984852475874,69.90393549196018,117.39301438590023
2025-01-31,62.482933859117196,84.5295705882622,86.69014683503046,72.64426057278993,116.88117292865483
2025-02-03,63.54821339104375,86.21551620034649,86.50808002724636,73.60909166919863,119.15382605069
2025-02-04,64.0901850040291,84.40602358312113,87.11058834410156,75.63538198202717,117.61777151796407
2025-02-05,63.96247308158126,83.75583798772632,90.41950796027051,76.7280027790322,118.69388435262798
2025-02-06,63.04152083092713,84.74289918373105,89.29047092066718,76.85357668508587,117.30315741911711
2025-02-07,63.95743002484011,85.80488163176808,89.00777951203288,77.53912090695799,114.85606925198839
2025-02-10,62.11384739217534,86.64472557173954,89.39349204607727,78.60145561516286,120.44529814722611
2025-02-11,63.34926633396677,85.14954567292342,91.47996527142806,76.61141231235834,119.45382953843179
2025-02-12,63.32615448768538,88.1525023052054,90.2088423315651,75.42173125195012,119.33807274656334
2025-02-13,62.54917007294524,90.22697032192303,88.35066375055975,73.76627153675831,118.4124388123176
2025-02-14,61.9886889138142,93.79911391934385,90.11665358371997,73.96920438120307,115.62871508329155
2025-02-17,63.09749668021798,92.01652676698978,87.42257820141467,75.8007259560136,116.47729713781509
2025-02-18,64.3226719084274,92.695107525925,89.00812760310465,74.8895624302077,114.18445821904916
2025-02-19,65.26383419181606,91.29835972929169,87.86962503857411,74.2821593954149,114.3385596433362
2025-02-20,64.86703802742868,88.87904213308632,86.82640450911565,71.05325780773424,115.88265947406278
2025-02-21,62.85349036808858,87.00479050809659,87.00381703908803,70.07334386058892,119.5747148319974
2025-02-24,61.29113247200428,87.5564893974593,87.02246575353021,68.50637285787877,120.94570269605586
2025-02-25,61.1421382262357,88.99555131114472,88.54275546000773,71.53878820115646,124.29959463910197
2025-02-26,60.751829025140076,88.65847322484032,90.5786360292254,72.54786245431889,126.01525601793388
2025-02-27,58.84792011126244,88.70399735709141,89.33221800318941,73.0265689429526,125.89390234436948
